аксессуар: аксессуары
анонсировать: анонсировано
аудитория: аудитории
баланс: баланс
божественность: божественность
божественный: божественная
вакансия: вакансии
вариативность: вариативность
ваш: ваш
ведро: ведро
ведьмак: ведьмак
вера: верой
вероятность: вероятность
взглянуть: взгляните
видео: видео
видеоигра: видеоигр видеоигры
видюхий: видюха
включая: включая
влиять: влияя
вовсе: вовсе
войти: войти
вперёд: вперед
впечатлять: впечатляет
время: времени
всё: всё
выдающийся: выдающихся
выпустить: выпустила
выражение: выражений
выручка: выручка
высокий: высокая
выход: выхода
геймдизайн: геймдизайна
гейминг: гейминг
геймплей: геймплей
герой: герой
главный: главная главный
год: год года году лет
графика: графика
далеко: далеко
данные: данным
дезориентировать: дезориентировать
декабрь: декабре
день: дня
десятка: десятки
дзен: дзен дзене
дикий: дикая
документ: документы
доллар: долларов
домой: домой
дополнение: дополнение
достаточно: достаточно
доступ: доступе
другой: другие
ещё: ещё
ждать: ждут
желание: желания
злодейский: злодейскую
знать: знает
значительно: значительно
зона: зоны
зря: зря
игра: игра играх игры
игровой: игровой игровые
игрок: игроков
идея: идей
изометрический: изометрическая
инди: инди
индустрия: индустрии
инопланетянин: инопланетян
интерактивный: интерактивных
интересоваться: интересуются
история: истории
канада: канада
канал: канал
карта: карта
картинка: картинки
киберспорт: киберспорт
кино: кино
классика: классика классике классики классику
количество: количество
комментарий: комментарии комментарий
комментировать: комментировать
комп: комп
комплектующие: комплектующие
компьютер: компьютером
конец: конец конца конце
консоль: консоли
контакт: контакты
концовка: концовки концовку концовок
кооперативный: кооперативный
копия: копий
который: которая которую которые который которых
культовый: культовой
ловкость: ловкость
максимально: максимально
маленький: меньше
мало: мало
менять: меняющие
место: местами
месяц: месяца месяцев
механик: механик
меч: меч
миллион: миллионов
мина: мин
минута: минут минуты
млн: млн
многий: многих
многопользовательский: многопользовательские
мобильный: мобильные
мол: мол
монстр: монстра
мочь: мог
музейный: музейной
мы: нам
назад: назад
найти: найти
намного: намного
написать: напишите
например: например
начало: начала
невероятный: невероятного
неделя: недели
нейтральный: нейтральное
неожиданный: неожиданным
неточный: неточная
ниже: ниже
новинка: новинки
нововведение: нововведений
новость: новости
новый: новая новые
обеспечить: обеспечили
обновить: обновил
обновление: обновления
обстановка: обстановке
одиночный: одиночные
ожидать: ожидаемые
около: около
оно: оно
особенно: особенно
особый: особого
остаться: останутся
отзыв: отзывы
отлично: отлично
относительно: относительно
отражаться: отражается
отставка: отставку
охота: охота
очень: очень
паркур: паркура
первый: первая первое первым
передумать: передумал
переосмысление: переосмысления
план: планах
подарить: подарила
подборка: подборке
подписаться: подписаться подпишитесь
подписка: подписки
подписчик: подписчиков
подсчёт: подсчет
поздний: поздним
поиграть: поиграть
пойти: пошел
пока: пока
положительно: положительно
положительный: положительных
пользователь: пользователей
порадовать: порадуют
почитать: почитать
правда: правдой
предлагать: предлагали
предмет: предметы
предназначение: предназначения
преследование: преследования
приключение: приключения
пример: примером
проблема: проблемы
продаться: продалась
продвинуть: продвинутой
пройти: прошёл
прописать: прописанной
пропустить: пропустите пропустить
прослужить: прослужив
проходить: проходил
прошлое: прошлого
проявить: проявить
публикация: публикации
работать: работает
различный: различных
разный: разные
ранний: раннем раньше
реалия: реалиях
реальный: реальный
ребёнок: детям
реиграбельность: реиграбельности
рекомендовать: рекомендуем
релиз: релизам
ремейк: ремейки
решить: решила
робот: роботов
ролевый: ролевая ролевые
ролик: ролики
российский: российские
россия: россия
самый: самые
свежий: свежие
свой: своего
сегодня: сегодня
сила: сил
симулятор: симуляторы
скайрим: скайрим
скакнуть: скакнула
скромный: скромным
скрытый: скрытые
следить: следить
собрать: собрали
современный: современной
составить: составила
состариться: состарятся
среди: среди
стать: стал станет
статья: статьи
стратегия: стратегии
студия: студия
существовать: существуют
счастие: счастья
сша: сша
также: также
такой: такая таких
телекинез: телекинезом
тема: темой тему темы
тип: типу
тираж: тираж тиражом
тихо: тихо
точка: точки
точно: точно
традиция: традиции
три: трех
тыс: тыс
удобство: удобство
уйти: уйти
улучшать: улучшает
улучшить: улучшить
устаревший: устаревших
утёнок: утенка
учитывать: учитывающее
февраль: февраля
финал: финалов
хватать: хватает хватало
хит: хитом
хоррор: хоррор
хэппи: хэппи
читать: читали
чёткий: четкие
шведский: шведская
шутеры: шутеры
эвакуация: эвакуации
экшн: экшн
эмоция: эмоций
энд: энд
это: это
