адептус: адептус
аж: аж
ажиотаж: ажиотажа
алан: алана
анонсировать: анонсировала
аряев: аряев
библиотека: библиотека
блай: блай блая
блэкджек: блэкджеком
боязнь: боязни
бывать: бывает
быть: буду будь
вакансия: вакансии
ваш: ваш
вернуться: вернулся
вещать: вещать
взглянуть: взгляните
включая: включая
владеть: владеющая
вместо: вместо
внезапно: внезапно
воевать: воевал
вокруг: вокруг
волна: волне волну
вопрос: вопросы
восстание: восстание
вредить: вредил
время: время
вселенная: вселенной
вспоминать: вспоминает
встретить: встретил
всё: всё
выпустить: выпустить
галопом: галопом
гарро: гарро
генеральный: генеральный
главпрораб: главпрорабу
год: год года году
господин: господин
давать: давай
делать: делая
день: дня
десятилетие: десятилетий
дзен: дзен
дзеневакансиидзен: дзеневакансиидзен
директор: директор директора
документ: документы
должный: должны
дорн: дорн
дурак: дураком
европ: европам
ересь: ереси ересь
ещё: ещё
железный: железных
жизнь: жизнью
заветный: заветное
закончиться: закончилось
игра: игр игра игру игры
игровой: игровой игровые
игрыроссийский: игрыроссийские
игрыэкшн: игрыэкшн
идея: идее
идти: идет
издать: издала
изначально: изначально
император: император
империум: империум империума
индустрииигра: индустрииигры
интервью: интервью
интерес: интересы
интересуютсяследить: интересуютсяследить
информация: информации
искать: искать
истваанский: истваанские
история: историю история
ия: ии
канал: канал
карч: карч
качественный: качественное
киберспортодиночный: киберспортодиночные
книга: книгу
кожаный: кожаные
кой: коего
комментарий: комментарий
комментироватьпока: комментироватьпока
коммуникация: коммуникациях
компания: компании
комплектующиешутерымногопользовательский: комплектующиешутерымногопользовательские
конец: конце
консолиновинка: консолиновинки
контакт: контакты
контент: контентом
копипаста: копипаста
копия: копий
короче: короче
косплеить: косплеить
который: которого
кроме: кроме
кэмерон: кэмерона
легион: легион
легионатак: легионатак
литература: литература литературы
мало: мало
масштабный: масштабное
материал: материал материала
механикус: механикусу
миллион: миллионов
минуспех: минуспех
минута: минут
минуталексей: минуталексей
млн: млн
мочь: можем
мэтт: мэтт
назадподписаться: назадподписаться
найти: найти
нанимать: нанимая
нанять: нанять
например: например
настолько: настолько
натаниэль: натаниэля
начало: начала
неожиданный: неожиданным
несколько: несколько
несмотря: несмотря
никто: никто
новый: новые новым новых
обдурить: обдурил
обновить: обновить
один: одним
однако: однако
ожидание: ожиданий
ожидать: ожидал ожидала
оказаться: оказался
орден: орден
оставаться: остаются
остаться: остался
осторожный: осторожный
отметить: отметил
отстаивать: отстаивал
очень: очень
падший: падших
пахать: пахать
первымрекомендовать: первымрекомендуем
персонаж: персонаж
перспективный: перспективные
перу: перу
подзабыть: подзабыть
подписчиковподписатьсяуспех: подписчиковподписатьсяуспех
подтолкнуть: подтолкнул
позади: позади
позволить: позволило
полноценный: полноценный
полёт: полёт
помнить: помним
понимание: понимания
право: правами
предатель: предателем предатели
предательство: предательство
предать: предали
предвидеть: предвидел
представитель: представителей
предыдущий: предыдущего
преисполниться: преисполнилось
привести: привели
принадлежать: принадлежит
причина: причине
провести: провел
продажа: продаж
продолжить: продолжить
проект: проект проекты
пропустить: пропустите пропустить
прорыв: прорывом
просто: просто
противник: противника
прямо: прямо
публикациина: публикациине
работать: работал
равно: равно
разбор: разбор
разный: разное
разойтись: разойдется
разработка: разработка
разработчик: разработчиков
разыграть: разыграть
рассказ: рассказа
рассказать: рассказал
рассказывать: рассказывать
расширить: расширила
результат: результатов
релиз: релиза
ремейк: ремейка
рисковать: рискуя
рогала: рогал
родиться: родился
ролевый: ролевые
сам: сама самого
свой: своих свой
сделать: сделали
сегодня: сегодня
сказать: сказал
скайнуть: скайнет
следующий: следующую
слово: словом
слышать: слышали
событие: события
создать: создав
сокращение: сокращений
сотрудник: сотрудников
спойлер: спойлеров
справочный: справочный
спросить: спросил
старт: старте
стать: стал станет
стол: столах
столь: столь
стратегия: стратегии
студия: студии студия
считать: считали
сюжетный: сюжетных
сюрприз: сюрпризом
также: также
такой: таких такое
тема: темой
темувидеостатьироликиновостивидеоигрыдетямвсё: темувидеостатьироликиновостивидеоигрыдетямвсё
темувойтиглавнаяподпискинайти: темувойтиглавнаяподпискинайти
терентий: терентия
термос: термосами
тираж: тиражом
тихонаписать: тихонапишите
товарищ: товарищей
тот: тех той
три: трёх
тыс: тыс
убл: убл
уверенный: уверен
увольнять: увольняют
удаться: удалось
удивить: удивил
удобно: удобно
уйти: ушёл
укладываться: укладывается
усмирять: усмиряло
успеть: успел
успех: успех успеха
успешно: успешно
успешный: успешной
фанат: фанатов
фордж: форджа
хороший: хороших
хорусый: хоруса
хотеть: хотел хочет
хотя: хотя
ху: ху
цензура: цензура
час: часов
часть: часть
человек: людей
человечество: человечество
читать: читали
чтение: чтение
чёрный: чёрная
штат: штат
эйзенштейн: эйзенштейна
это: это
являться: является
