ааа: ааа
адепт: адепты
бакс: баксов
банковский: банковские
блок: блок
больший: большие
братик: братик
быстрый: быстрой
вакансия: вакансии
вариант: вариант
версия: версии версию версия
взглянуть: взгляните
видео: видео
видеоигра: видеоигры
видеокарта: видеокарт видеокарте видеокартой видеокарты
визуальный: визуальными
войти: войти
воображение: воображение
восьмиядерник: восьмиядерник
встречаться: встречаются
всё: всё
вчера: вчера
вы: вами
вывалить: вывалив
выгодный: выгодные
выйти: выйдет
высокопроизводительный: высокопроизводительный
гаджет: гаджеты
гб: гб
геймер: геймер
гейминг: гейминг
главный: главная главной
год: году
грааль: грааль
грамотность: грамотности
графика: графики
графический: графические
давать: дают
дать: данная
два: двух
демонстрационный: демонстрационную
дефицит: дефицит
дзен: дзен дзене
документ: документы
доллар: долларов
доступ: доступ
дть: демо
ещё: ещё
заиграть: заиграла
заказ: заказ
запуск: запуска
затея: затея
значительно: значительно
игра: игр игра
игровой: игровой
избранный: избранных
индустрия: индустрии
инсайдер: инсайдеры
интересоваться: интересуются
использование: использованием
каждый: каждый
канал: канал
килобайт: килобайт
ключевой: ключевые
количество: количество
комплектующие: комплектующие
компьютер: компьютер
контакт: контакты
контроллер: контроллер
который: которая которому которых
краска: красками
крупный: крупные
крутой: крутой
кто: кого
культовый: культового
кусаться: кусаются
кэш: кэш кэша
лежать: лежат
лиза: лиза
лицо: лице
локация: локации
луч: лучей
любой: любые
магазин: магазины
майнер: майнеры
максимальный: максимальных
менять: меняет
месяц: месяц
мечтать: мечтает
микроархитектура: микроархитектуре
мина: мин
минута: минут
млн: млн
модель: моделями
мочь: могут
мощный: мощный
назад: назад
найти: найти
накинуть: накинула
нанометровый: нанометровом
например: например
настольный: настольной
настройка: настройках
научно: научно
неделя: неделю
недоступный: недоступна
неофициальный: неофициальный
нескоро: нескоро
новинка: новинки
новость: новости
новый: нова нового новой новом новые новыми
нужный: нужен
обзор: обзор
обновить: обновлённый
обычно: обычно
однако: однако
около: около
оно: оно
оперативный: оперативной
опробовать: опробовать
оригинальный: оригинальная
освещение: освещение
основный: основными
особенность: особенностью
остаться: остались
ответственно: ответственно
отзыв: отзывов
открыть: открыты
отличаться: отличается
отличие: отличиями
относиться: относится
очень: очень
память: памяти
партия: партии
первый: первые
петь: пели
пк: пк
планета: планете
поддержка: поддержке
подождать: подождать
подписаться: подписаться подпишитесь
подписка: подписки
подписчик: подписчиков
позволять: позволяют
поздний: позже
показаться: показаться
поколение: поколений поколения
полный: полная
положительный: положительные
получить: получить
понятно: понятно
поражать: поражают
последний: последних
потенциал: потенциал
потребоваться: потребуется
похожий: похож
почитать: почитать
править: правит
практически: практически
предложение: предложения
представить: представила
прежний: прежними
прибыть: прибудут
прийти: пришёл
прийтись: придётся
прилавок: прилавках прилавков
приобрести: приобрети
прогноз: прогнозы
продукт: продукты
пропустить: пропустите пропустить
проспект: проспект
противоречивый: противоречивые
процессор: процессор процессоров процессором
публикация: публикации
р: р
рабочий: рабочий
разрешение: разрешения
расширить: расширить
ребёнок: детям
рейвенхольм: рейвенхольм
реклама: реклама
рекомендовать: рекомендованная рекомендуем
релиз: релиза
ремастер: ремастер
ролик: ролики
российский: российских
рубль: рублей
сам: самой
самый: самые самый
сборка: сборке
свой: свой
сегмент: сегментом
сегодня: сегодня
сильно: сильно
скриншот: скриншот
слабый: слабее
следить: следить
слово: словах
сметать: сметали
собирать: собираем
собрать: собрала собрать
современный: современные
создать: созданный
сравнение: сравнение
стать: стала
статья: статьи
студия: студия
су: су
сутки: сутки
существенный: существеннее
сша: сша
таблица: таблица
таки: таки
такой: такие такого
твой: твой
текстура: текстурами
тема: темой тему темы
тень: тени
тест: тесты
техно: техно
технология: технологии технологий
техпроцесс: техпроцессе
топовый: топовые топовый
тот: тех
трассировка: трассировка
тыс: тыс
тысяча: тысяч
удел: уделом
указывать: указывая
улучшить: улучшенными
фантастический: фантастического
финансовый: финансовой
флагман: флагманом
хотя: хотя
хт: хт
целый: целых
цена: цена цены
частота: частоты
череда: черёд
четыре: четырех
чип: чипы
читать: читали
шутер: шутера
шутеры: шутеры
электроника: электроника
энтузиаст: энтузиастами
эффект: эффектами
являться: является
ядро: ядер
