активно: активно
актёр: актёр
арен: аренах
арена: арене
баг: багов
битва: битва
блог: блоге
бой: бои
бывший: бывшего
быть: будут
вакансия: вакансии
ваш: ваш
везде: везде
взглянуть: взгляните
взять: взять
видимость: видимость
включая: включая
вовлечённость: вовлечённости
война: войны
войнигровой: войнигровая
вообще: вообще
воссоединение: воссоединении
впечатлить: впечатлил
вселенная: вселенной
всё: всё
выйти: вышла
галактический: галактической
геймер: геймеров
геймплей: геймплей
гибридный: гибридной
гилмор: гилмор
гладиаторский: гладиаторскому
говорить: говорит говоря
год: года
голова: головами
гражданский: гражданской
давать: дают
давно: давно
девочка: девочки
делать: делаем делать
день: день дня
деятельность: деятельности
джаред: джаред
дженсено: дженсеном
дзен: дзен
дзеневакансиидзен: дзеневакансиидзен
динамичный: динамичный динамичных
документ: документы
должный: должен
допиливать: допиливать
доступ: доступе
друг: друг другом
ещё: ещё
ждать: ждёт
жестокий: жестокие
закрытие: закрытии
звёздный: звёздных
знать: знаю
игра: игра игру игры
игровой: игровой
игрок: игроков
известный: известное
издание: изданию
изображение: изображения
иммерсивность: иммерсивности
империя: империи
имперский: имперского
индустрия: индустрии индустрию индустрия
интервью: интервью
интересуютсяследить: интересуютсяследить
итог: итоге
июнь: июня
каждый: каждая
канал: канал
команда: команды
командный: командный
комментарий: комментарий
комментироватьпока: комментироватьпока
компания: компания
конец: концу
консоль: консоли
контакт: контакты
контентпомочь: контентпомогите
косяк: косяки
который: котором который
красться: крадётся
кривой: кривом
критик: критиков
лайк: лайк
лицо: лица
мандалорский: мандалорского
месяц: месяца месяцев
механика: механики
минкомпания: минкомпания
млн: млн
мнение: мнение
многопользовательский: многопользовательский многопользовательского
множество: множеством
мобильный: мобильных
мол: мол
мочь: могут
мягко: мягко
назадподписатьсяджаред: назадподписатьсяджаред
назадподписатьсяджедать: назадподписатьсяджедай
найти: найти
наличие: наличие
наш: наш
наёмник: наёмники
недавний: недавней
неделя: недели
немного: немного
нервничать: нервничает
новый: новые
объявить: объявила
около: около
окончание: окончания
октябрь: октября
особый: особое
отключить: отключат
отменить: отменили
официальный: официальном
охотник: охотника охотники
оценить: оценить
падалёкий: падалеки
патч: патчи
пацан: пацанах пацанов
первымрекомендовать: первымрекомендуем
переносить: переносит
персонаж: персонажей
пк: пк
повстанец: повстанцы
подписчиковподписатьсяшутер: подписчиковподписатьсяшутер
подпольный: подпольному
пользователь: пользователи
понравиться: понравившемуся
попробовать: попробовать
посвятить: посвящены
поставить: поставь
появиться: появиться
практически: практически
предлагать: предлагая
представитель: представители
представить: представила
продолжать: продолжает
прописать: прописать
пропустить: пропустите пропустить
просто: просто
проходить: проходит
процесс: процесс
публикациина: публикациине
пугать: пугает
пытаться: пытаются
пятый: пятом
работать: работаем
разворачиваться: разворачиваются
раздолбай: раздолбаи
различный: различных
разный: разными
разработчик: разработчики
ранний: раннем
рассказать: рассказал
релиз: релиз релиза релизов релизу релизы
релизиться: релизиться
решить: решила
решиться: решится
сезон: сезоне
сервер: серверы
сеттинг: сеттингом
следовать: следовать
смотреть: смотрите
собираться: собираемся
событие: события
создавать: создают
сообщить: сообщили
соревновательный: соревновательных
состояние: состоянии
социальный: социальные
сражаться: сражаются
стараться: стараемся
стать: станет
столкнуться: столкнёмся
съёмка: съёмок
тайтлый: тайтл
также: также
такой: такие таких
телеграм: телеграм
тема: темой темы
темувидеостатьироликиновостивидеоигрыдетямвсё: темувидеостатьироликиновостивидеоигрыдетямвсё
темувойтиглавнаяподпискинайти: темувойтиглавнаяподпискинайти
темышутерыгеймингнайти: темышутерыгеймингнайти
тихонаписать: тихонапишите
традиция: традиции
третий: третьего
тыс: тыс
ужасно: ужасно
уокер: уокер
управление: управление управлением
условие: условиями
устройство: устройствах
фанат: фанатам
формат: форматы
хотя: хотя
четыре: четырёх
чувство: чувство
шоу: шоу
шутереть: шутер
эклз: эклзом
экспериментировать: экспериментирует
экшен: экшен экшена экшенах
это: это
январь: январе
